Content ID,Reaction Type,Content.Type,Content.Category,ReactionTypes.Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,photo,Studying,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,photo,Studying,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,photo,Studying,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,photo,Studying,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,photo,Studying,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,photo,Studying,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,photo,Studying,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,photo,Studying,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,Studying,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,Studying,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,photo,Studying,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,photo,Studying,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,photo,Studying,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,photo,Studying,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,photo,Studying,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,love,photo,Studying,65
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,photo,Studying,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,photo,Studying,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,Studying,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,photo,Studying,45
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,photo,Studying,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,photo,Studying,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,like,photo,Studying,50
97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,photo,Studying,60
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,photo,Studying,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,photo,Studying,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,photo,Studying,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,photo,Studying,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,photo,Studying,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,photo,Studying,45
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,photo,Studying,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,Studying,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,photo,Studying,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,photo,Studying,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,photo,Studying,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,photo,Studying,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,Studying,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,photo,Studying,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,photo,Studying,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,photo,Studying,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,want,photo,Studying,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,Studying,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,photo,Studying,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,photo,Studying,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,photo,Studying,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,photo,Healthy eating,10
9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,photo,Healthy eating,45
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,photo,Healthy eating,35
9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,photo,Healthy eating,15
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,photo,Healthy eating,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,photo,Healthy eating,0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,photo,Healthy eating,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,photo,Healthy eating,50
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,photo,Healthy eating,65
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,photo,Healthy eating,65
9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,photo,Healthy eating,60
9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,photo,Healthy eating,20
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,photo,Healthy eating,35
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,photo,Healthy eating,65
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,photo,Healthy eating,50
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,photo,Healthy eating,5
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,photo,Healthy eating,75
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,photo,Healthy eating,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,photo,Healthy eating,15
230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,photo,Healthy eating,70
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,photo,Healthy eating,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,photo,Healthy eating,30
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,photo,Healthy eating,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,like,photo,Healthy eating,50
230c4e4d-70c3-461d-b42c-ec09396efb3f,like,photo,Healthy eating,50
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,photo,Healthy eating,5
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,photo,Healthy eating,30
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,photo,Healthy eating,10
230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,photo,Healthy eating,35
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,photo,Healthy eating,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,photo,Healthy eating,75
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,photo,Healthy eating,70
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,photo,Healthy eating,5
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,photo,Healthy eating,10
230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,photo,Healthy eating,15
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,photo,Healthy eating,10
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,photo,Healthy eating,70
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,photo,Healthy eating,30
230c4e4d-70c3-461d-b42c-ec09396efb3f,love,photo,Healthy eating,65
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,photo,Healthy eating,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,photo,Healthy eating,0
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,photo,Healthy eating,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,photo,Healthy eating,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,photo,Healthy eating,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,photo,Healthy eating,12
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,photo,Healthy eating,30
356fff80-da4d-4785-9f43-bc1261031dc6,worried,photo,Technology,12
356fff80-da4d-4785-9f43-bc1261031dc6,want,photo,Technology,70
356fff80-da4d-4785-9f43-bc1261031dc6,heart,photo,Technology,60
356fff80-da4d-4785-9f43-bc1261031dc6,scared,photo,Technology,15
356fff80-da4d-4785-9f43-bc1261031dc6,heart,photo,Technology,60
356fff80-da4d-4785-9f43-bc1261031dc6,hate,photo,Technology,5
356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,photo,Technology,20
01ab84dd-6364-4236-abbb-3f237db77180,scared,video,Food,15
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,GIF,cooking,30
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,GIF,cooking,5
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,GIF,cooking,70
